Row," ID",Table,Description,Phân loại chiến lược,Lý do chi tiết,Special,Missing_Rate,Data_Type,Unique_Count,IV_Score,Feature_Importance_Baseline
ENTRANCES_MEDI,81,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
FLOORSMAX_MEDI,82,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
FLOORSMIN_MEDI,83,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
LANDAREA_MEDI,84,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
LIVINGAPARTMENTS_MEDI,85,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
LIVINGAREA_MEDI,86,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
NONLIVINGAPARTMENTS_MEDI,87,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
NONLIVINGAREA_MEDI,88,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
FONDKAPREMONT_MODE,89,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
HOUSETYPE_MODE,90,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
TOTALAREA_MODE,91,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
WALLSMATERIAL_MODE,92,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
EMERGENCYSTATE_MODE,93,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Watched List,"Thông tin chuẩn hóa về bất động sản/nơi ở của khách hàng. Tuy có giá trị nhưng thường bị khuyết thiếu (missing values) rất nặng (>50%), cần đánh giá độ phủ dữ liệu trước khi dùng.",normalized,,,,,
OBS_30_CNT_SOCIAL_CIRCLE,94,application_{train|test}.csv,How many observation of client's social surroundings with observable 30 DPD (days past due) default,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
DEF_30_CNT_SOCIAL_CIRCLE,95,application_{train|test}.csv,How many observation of client's social surroundings defaulted on 30 DPD (days past due),Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
OBS_60_CNT_SOCIAL_CIRCLE,96,application_{train|test}.csv,How many observation of client's social surroundings with observable 60 DPD (days past due) default,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
DEF_60_CNT_SOCIAL_CIRCLE,97,application_{train|test}.csv,How many observation of client's social surroundings defaulted on 60 (days past due) DPD,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
DAYS_LAST_PHONE_CHANGE,98,application_{train|test}.csv,How many days before application did client change phone,Watched List,"Thời gian thay đổi thông tin cá nhân/thiết bị liên lạc, có thể phản ánh mức độ ổn định cuộc sống hoặc dấu hiệu hành vi bất thường.",,,,,,
FLAG_DOCUMENT_2,99,application_{train|test}.csv,Did client provide document 2,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_3,100,application_{train|test}.csv,Did client provide document 3,Watched List,"Cờ tài liệu phổ biến nhất được nộp bởi khách hàng, có thể chứa thông tin phân tách rủi ro tốt hơn các tài liệu khác.",,,,,,
FLAG_DOCUMENT_4,101,application_{train|test}.csv,Did client provide document 4,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_5,102,application_{train|test}.csv,Did client provide document 5,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_6,103,application_{train|test}.csv,Did client provide document 6,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_7,104,application_{train|test}.csv,Did client provide document 7,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_8,105,application_{train|test}.csv,Did client provide document 8,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_9,106,application_{train|test}.csv,Did client provide document 9,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_10,107,application_{train|test}.csv,Did client provide document 10,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_11,108,application_{train|test}.csv,Did client provide document 11,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_12,109,application_{train|test}.csv,Did client provide document 12,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_13,110,application_{train|test}.csv,Did client provide document 13,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_14,111,application_{train|test}.csv,Did client provide document 14,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_15,112,application_{train|test}.csv,Did client provide document 15,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_16,113,application_{train|test}.csv,Did client provide document 16,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_17,114,application_{train|test}.csv,Did client provide document 17,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_18,115,application_{train|test}.csv,Did client provide document 18,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_19,116,application_{train|test}.csv,Did client provide document 19,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_20,117,application_{train|test}.csv,Did client provide document 20,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
FLAG_DOCUMENT_21,118,application_{train|test}.csv,Did client provide document 21,Remove,"Các cờ tài liệu phụ thường có tỷ lệ xuất hiện cực kỳ thấp (gần như 100% bằng 0), gây ra hiện tượng mất cân bằng dữ liệu nghiêm trọng và thiếu phương sai.",,,,,,
AMT_REQ_CREDIT_BUREAU_HOUR,119,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one hour before application,Watched List,"Số lượng truy vấn thông tin tín dụng từ CIC/Bureau, biểu thị tần suất tìm kiếm khoản vay của khách hàng, hữu ích cho phân tích hành vi.",,,,,,
AMT_REQ_CREDIT_BUREAU_DAY,120,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application),Watched List,"Số lượng truy vấn thông tin tín dụng từ CIC/Bureau, biểu thị tần suất tìm kiếm khoản vay của khách hàng, hữu ích cho phân tích hành vi.",,,,,,
AMT_REQ_CREDIT_BUREAU_WEEK,121,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application),Watched List,"Số lượng truy vấn thông tin tín dụng từ CIC/Bureau, biểu thị tần suất tìm kiếm khoản vay của khách hàng, hữu ích cho phân tích hành vi.",,,,,,
AMT_REQ_CREDIT_BUREAU_MON,122,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application),Watched List,"Số lượng truy vấn thông tin tín dụng từ CIC/Bureau, biểu thị tần suất tìm kiếm khoản vay của khách hàng, hữu ích cho phân tích hành vi.",,,,,,
AMT_REQ_CREDIT_BUREAU_QRT,123,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application),Watched List,"Số lượng truy vấn thông tin tín dụng từ CIC/Bureau, biểu thị tần suất tìm kiếm khoản vay của khách hàng, hữu ích cho phân tích hành vi.",,,,,,
AMT_REQ_CREDIT_BUREAU_YEAR,124,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application),Watched List,"Số lượng truy vấn thông tin tín dụng từ CIC/Bureau, biểu thị tần suất tìm kiếm khoản vay của khách hàng, hữu ích cho phân tích hành vi.",,,,,,
SK_ID_CURR,125,bureau.csv,"ID of loan in our sample - one loan in our sample can have 0,1,2 or more related previous credits in credit bureau",Keep(100%),"Là khóa chính/khóa ngoại cốt lõi để liên kết các bảng dữ liệu trong hệ thống, bắt buộc phải giữ lại.",hashed,,,,,
SK_BUREAU_ID,126,bureau.csv,Recoded ID of previous Credit Bureau credit related to our loan (unique coding for each loan application),Keep(100%),"Là khóa chính/khóa ngoại cốt lõi để liên kết các bảng dữ liệu trong hệ thống, bắt buộc phải giữ lại.",hashed,,,,,
CREDIT_ACTIVE,127,bureau.csv,Status of the Credit Bureau (CB) reported credits,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
CREDIT_CURRENCY,128,bureau.csv,Recoded currency of the Credit Bureau credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",recoded,,,,,
DAYS_CREDIT,129,bureau.csv,How many days before current application did client apply for Credit Bureau credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",time only relative to the application,,,,,
CREDIT_DAY_OVERDUE,130,bureau.csv,Number of days past due on CB credit at the time of application for related loan in our sample,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
DAYS_CREDIT_ENDDATE,131,bureau.csv,Remaining duration of CB credit (in days) at the time of application in Home Credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",time only relative to the application,,,,,
DAYS_ENDDATE_FACT,132,bureau.csv,Days since CB credit ended at the time of application in Home Credit (only for closed credit),Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",time only relative to the application,,,,,
AMT_CREDIT_MAX_OVERDUE,133,bureau.csv,Maximal amount overdue on the Credit Bureau credit so far (at application date of loan in our sample),Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
CNT_CREDIT_PROLONG,134,bureau.csv,How many times was the Credit Bureau credit prolonged,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
AMT_CREDIT_SUM,135,bureau.csv,Current credit amount for the Credit Bureau credit,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_CREDIT_SUM_DEBT,136,bureau.csv,Current debt on Credit Bureau credit,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_CREDIT_SUM_LIMIT,137,bureau.csv,Current credit limit of credit card reported in Credit Bureau,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_CREDIT_SUM_OVERDUE,138,bureau.csv,Current amount overdue on Credit Bureau credit,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
CREDIT_TYPE,139,bureau.csv,"Type of Credit Bureau credit (Car, cash,...)",Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
DAYS_CREDIT_UPDATE,140,bureau.csv,How many days before loan application did last information about the Credit Bureau credit come,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",time only relative to the application,,,,,
AMT_ANNUITY,141,bureau.csv,Annuity of the Credit Bureau credit,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
SK_BUREAU_ID,142,bureau_balance.csv,Recoded ID of Credit Bureau credit (unique coding for each application) - use this to join to CREDIT_BUREAU table,Keep(100%),"Là khóa chính/khóa ngoại cốt lõi để liên kết các bảng dữ liệu trong hệ thống, bắt buộc phải giữ lại.",hashed,,,,,
MONTHS_BALANCE,143,bureau_balance.csv,Month of balance relative to application date (-1 means the freshest balance date),Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",time only relative to the application,,,,,
STATUS,144,bureau_balance.csv,"Status of Credit Bureau loan during the month (active, closed, DPD0-30,â€¦ [C means closed, X means status unknown, 0 means no DPD, 1 means maximal did during month between 1-30, 2 means DPD 31-60,â€¦ 5 means DPD 120+ or sold or written off ] )",Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
SK_ID_PREV,145,POS_CASH_balance.csv,"ID of previous credit in Home Credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)",Keep(100%),"Là khóa chính/khóa ngoại cốt lõi để liên kết các bảng dữ liệu trong hệ thống, bắt buộc phải giữ lại.",,,,,,
SK_ID_CURR,146,POS_CASH_balance.csv,ID of loan in our sample,Keep(100%),"Là khóa chính/khóa ngoại cốt lõi để liên kết các bảng dữ liệu trong hệ thống, bắt buộc phải giữ lại.",,,,,,
MONTHS_BALANCE,147,POS_CASH_balance.csv,"Month of balance relative to application date (-1 means the information to the freshest monthly snapshot, 0 means the information at application - often it will be the same as -1 as many banks are not updating the information to Credit Bureau regularly )",Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",time only relative to the application,,,,,
CNT_INSTALMENT,148,POS_CASH_balance.csv,Term of previous credit (can change over time),Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
CNT_INSTALMENT_FUTURE,149,POS_CASH_balance.csv,Installments left to pay on the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
NAME_CONTRACT_STATUS,150,POS_CASH_balance.csv,Contract status during the month,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
SK_DPD,151,POS_CASH_balance.csv,DPD (days past due) during the month of previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
SK_DPD_DEF,152,POS_CASH_balance.csv,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
SK_ID_PREV,153,credit_card_balance.csv,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)",Keep(100%),"Là khóa chính/khóa ngoại cốt lõi để liên kết các bảng dữ liệu trong hệ thống, bắt buộc phải giữ lại.",hashed,,,,,
SK_ID_CURR,154,credit_card_balance.csv,ID of loan in our sample,Keep(100%),"Là khóa chính/khóa ngoại cốt lõi để liên kết các bảng dữ liệu trong hệ thống, bắt buộc phải giữ lại.",hashed,,,,,
MONTHS_BALANCE,155,credit_card_balance.csv,Month of balance relative to application date (-1 means the freshest balance date),Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",time only relative to the application,,,,,
AMT_BALANCE,156,credit_card_balance.csv,Balance during the month of previous credit,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_CREDIT_LIMIT_ACTUAL,157,credit_card_balance.csv,Credit card limit during the month of the previous credit,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_DRAWINGS_ATM_CURRENT,158,credit_card_balance.csv,Amount drawing at ATM during the month of the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
AMT_DRAWINGS_CURRENT,159,credit_card_balance.csv,Amount drawing during the month of the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
AMT_DRAWINGS_OTHER_CURRENT,160,credit_card_balance.csv,Amount of other drawings during the month of the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
AMT_DRAWINGS_POS_CURRENT,161,credit_card_balance.csv,Amount drawing or buying goods during the month of the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
AMT_INST_MIN_REGULARITY,162,credit_card_balance.csv,Minimal installment for this month of the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
AMT_PAYMENT_CURRENT,163,credit_card_balance.csv,How much did the client pay during the month on the previous credit,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_PAYMENT_TOTAL_CURRENT,164,credit_card_balance.csv,How much did the client pay during the month in total on the previous credit,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_RECEIVABLE_PRINCIPAL,165,credit_card_balance.csv,Amount receivable for principal on the previous credit,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_RECIVABLE,166,credit_card_balance.csv,Amount receivable on the previous credit,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_TOTAL_RECEIVABLE,167,credit_card_balance.csv,Total amount receivable on the previous credit,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
CNT_DRAWINGS_ATM_CURRENT,168,credit_card_balance.csv,Number of drawings at ATM during this month on the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
CNT_DRAWINGS_CURRENT,169,credit_card_balance.csv,Number of drawings during this month on the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
